month,city,road,subject
"March 2019 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY," Wicked LocalThe following is a selection from the Medford Police logs, Feb. 19 - March 3.Feb. 198:34 a.m.; Hume Avenue - A breaking and entering of a motor vehicle was ...[...]"
"March 2019 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY, Boston HeraldA 10000-gallon tanker truck that overturned along the Mystic River in Arlington was '?full or nearly full'? when it dumped its load of pink-colored diesel fuel into the ...[...]
"March 2019 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY,SCHEDULE A SHOWING ONLINE AT: showmojo.com / lh / 591cfc20f1 ----This sunny and spacious room for rent is located on a quiet dead-end street in a great area of Medford. Minutes from both Tufts and highway ...[...]
"March 2019 Incident Archives, Medford",,MASS," Medford, MA PatchWoman Dies In I-93 Crash In Medford - Medford, MA - State police identified the 58-year-old woman Sunday morning.[...]"
"March 2019 Incident Archives, Medford",STONEHAM,I-93N," Patch.comMedford, MA - The crash is currently under investigation.[...]"
"March 2019 Incident Archives, Medford",ANDOVER,I-93S,"MEDFORD (CBS) - Construction on I-93 continues for a ninth weekend to replace 14 deteriorated bridges in Medford this summer. This weekend's replacements focus on the Route I-93 bridge over Webster St...Wed, 20 Feb 2019 16:00:00 GMTCBS Boston / WBZ

[...]"
"March 2019 Incident Archives, Medford",WOBURN,I-93S, NECNThe Massachusetts Department of Transportation says a man who was part of a work zone crew was struck and killed on I-93 in Medford Tuesday morning and ...[...]
"March 2019 Incident Archives, Medford",,51,"Compare value with Somerville, Medford, Malden...another 15 mins by train to Boston...Beautiful Wakefield! Walk to train! All new construction with this 2nd and 3rd floor unit professionally remodeled ...Mon, 11 Feb 2019 10:04:00 GMTBoston.com


NFE [...]"
"March 2019 Incident Archives, Medford",,ROUTE2,"The club facility is located in the lower level of St. Camillus Church, 1175 Concord Turnpike, Route 2, Arlington. Membership dues cost ... of only seven theater pipe organs in public venues in Massac...Wed, 16 Jan 2019 09:30:00 GMTWicked Local Medfo[...]"
"March 2019 Incident Archives, Medford",,NOINFORMATION,"The club facility is located in the lower level of St. Camillus Church, 1175 Concord Turnpike, Route 2, Arlington. Membership dues cost ... of only seven theater pipe organs in public venues in Massac...Wed, 16 Jan 2019 09:30:00 GMTWicked Local Medfo[...]"
"February 2019 Incident Archives, Medford",WINCHESTER,I-93," Patch.comWoman in Fatal LensCrafters Crash ID'd - Medford, MA - A women died after her car went through the front of LensCrafters at Wellington Circle Plaza.[...]"
"February 2019 Incident Archives, Medford",WINCHESTER,I-93,"Five miles north of Boston (about 15 miles southeast of Lowell) I-93 severs Middlesex Fells Reservation into two sides, east and west. Located in parts of Medford, Winchester ... Road and the Skyline ...Fri, 12 Dec 2014 11:52:00 GMTThe Lowell Sun


N[...]"
"February 2019 Incident Archives, Medford",SHARON,I-95N, Wicked Local North of BostonPolice seized over $10000 worth of marijuana products from Jeffrey Liao following a car crash in Medford.[...]
"February 2019 Incident Archives, Medford",,I-93," The Harvell gazetteState police identified the woman killed in a car accident on Interstate 93 southbound in Medford on Saturday as Florence Bisson, 52, of Haverhill.[...]"
"February 2019 Incident Archives, Medford",,I-395," Boston News, Weather, Sports | WHDH 7NewsMEDFORD, MASS. (WHDH) - A 17-year-old was indicted Tuesday on charges in connection with a crash in Medford that left a 64-year-old woman dead and two ...[...]"
"February 2019 Incident Archives, Medford",LEXINGTON,I-95, CBS Boston / WBZA teen is accused of driving under the influence during a hit and run crash. WBZ-TV's Louisa Moller reports. Next Video. WBZ News Update For February 20 ...[...]
"February 2019 Incident Archives, Medford",,I-93,"A manager at Georgeown's Dunkin Donuts, who's become somewhat famous in town, was tragically killed in a car accident on I-93 in Medford. At about 7:30 p.m. Saturday, according to Massachusetts State ...[...]"
"February 2019 Incident Archives, Medford",,MASSPIKE,"LEE, Mass. (WWLP) - A Medford woman died Monday morning after ... Tom Ryan told 22News that just before 8:00, the woman somehow lost control of her car on the Mass Pike westbound in Lee, after the Bec...[...]"
"February 2019 Incident Archives, Medford",,ROUTE58," NECNPolice in Medford, Massachusetts, are investigating a car crash that killed one person Saturday night.[...]"
"February 2019 Incident Archives, Medford",,I-93," U.S. News & World ReportMEDFORD, Mass. (AP) - A 58-year-old Haverhill woman has died in a single car crash on a highway just north of Boston.[...]"
"February 2019 Incident Archives, Medford",,I-93,"A 58-year-old Haverhill woman was killed early Saturday night when the car she was driving crashed on I-93 in Medford. Massachusetts State Police report Florence Bisson died around 7:30 p.m., when ...[...]"
"February 2019 Incident Archives, Medford",,I-25," Boston 25 NewsPolice are investigating after a Haverhill woman died in a single-car crash in Medford, according to a release from the Massachusetts State Police.[...]"
"February 2019 Incident Archives, Medford",HAVERHILL,,Authorities identified the 58-year-old Haverhill woman killed in a crash on Interstate 93 in Medford Saturday night as Florence Bisson. Massachusetts State Police troopers were called to I-93 southbou...[...]
"February 2019 Incident Archives, Medford",MEDFORD,,Authorities are investigating a Saturday night crash that claimed the life of a woman driving in Medford. Massachusetts State Police troopers responded to a single-vehicle crash on Interstate 93 south...[...]
"February 2019 Incident Archives, Medford",,I-93,"MEDFORD, MA - A 58-year-old Haverhill woman was killed in a single-car crash on I-93 South Saturday night. Police said Florence Bisson was driving a 2005 GMC Envoy between Exits 33 and 32 when ...[...]"
"February 2019 Incident Archives, Medford",WOBURN,I-93,"At approximately 5:10 p.m., troopers from the State Police Barracks in Medford responded to reports of a crash on I-93 northbound ... State Police Crime Scene Services, Woburn Fire and EMS, and the Ma...[...]"
"February 2019 Incident Archives, Medford",,I-93," CBS BostonMEDFORD - A crash on Interstate 93 left one woman dead Saturday night. The crash, which happened around 7:40 p.m. Saturday involved one car. The driver ...[...]"
"February 2019 Incident Archives, Medford",,I-25," Boston 25 NewsPolice are investigating after a woman died in a single-car crash in Medford, Massachusetts State Police say.[...]"
"February 2019 Incident Archives, Medford",,I-93,"MEDFORD, MA - A woman died in a single-car crash on I-93 Saturday night. Police said the car crashed around Exit 33. The breakdown and right travel lanes are open. Police are investigating.[...]"
"February 2019 Incident Archives, Medford",,I-495,"Clear Channel Outdoor donated digital billboard space to the National Center for Missing and Exploited Children. Billboards on I-93 in Medford and Stoneham and I-495 in Lawrence will display the faces ...Sat, 25 May 2013 07:07:00 GMTThe Lowell Sun


[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93, The GuardianA snow storm that moved across portions of the south and headed to New England has been blamed for three deaths and a major accident in Connecticut.[...]
"February 2019 Incident Archives, Medford",MEDFORD,I-93," The Boston GlobeCraig Lawlor, 24, is to appear in Suffolk Superior Court to face charges in the August crash.[...]"
"February 2019 Incident Archives, Medford",,FELLSWAY,"Heading further inland, Massachusetts has plenty of secret lakes ... Wrights Pond, Medford Wright's Pond is situated just off the Route 93 at the Fellsway Exit, along the picturesque winding road that ...Sat, 23 Jul 2016 03:12:00 GMTCBS Boston / WBZ
[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93," CBS LocalWINDHAM, N.H. (CBS) - Ten drivers were hospitalized after snow squalls caused a 40-car pileup on Interstate 93 in southern New Hampshire. Interstate 93 in ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93, CBS LocalBOSTON (CBS) - A driver was arrested and charged with attacking a Massachusetts State Trooper after a minor accident on Interstate 93 Friday morning.[...]
"February 2019 Incident Archives, Medford",BRIDGEWATER,I-495, Lowell SunWOBURN -- A 33-year-old Chelmsford man who was allegedly drunk when he struck a 52-year-old father of six at a work site on Interstate 93 in Medford last ...[...]
"February 2019 Incident Archives, Medford",MEDFORD,55MYSTICAVE," Wicked LocalThe following is a selection from the Medford Police logs, Dec. 21-28.Dec. 213:05 p.m.; Mystic Avenue - A motor vehicle accident was reported at Mobil.5:27 ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,55MYSTICAVE," Patch.comOverdose In Arlington: Arlington Police, Fire - Arlington, MA - A man allegedly overdosed while driving and then crashed. Police administered two doses of ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,55MYSTICAVE," Patch.comArrest Logs - Arlington, MA - Arlington Police arrested three people this past weekend.[...]"
"February 2019 Incident Archives, Medford",MEDFORD,55MYSTICAVE," NECNA woman is dead after she crashed her car into a building in Medford, Massachusetts, on Friday morning.[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93, WCVB BostonA crash inside the Tip O'Neill Tunnel in Boston is causing traffic delays for the Thursday morning commute.[...]
"February 2019 Incident Archives, Medford",MEDFORD,I-93," Patch.comChelmsford Man Accused Of Fatal DUI Crash Indicted - Chelmsford, MA - James Scoville, of Chelmsford, was driving drunk when he struck and killed a man in ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93,SOMERVILLE (AP) -- Fourteen members of a Black Lives Matter protest that blocked off part of Interstate 93 in Massachusetts in January will ... barrels strewn along the northbound lanes of I-93 in Med...[...]
"February 2019 Incident Archives, Medford",MEDFORD,I-93, CBS LocalSOMERVILLE (CBS) - Protesters who blocked traffic on Interstate 93 during rush hour on Thursday morning were released on bail following court appearances.[...]
"February 2019 Incident Archives, Medford",MEDFORD,I-93,"protesters blocked I-93 southbound near the Medford-Somerville line; shutting down the highway for about half an hour. That protest was cleared at around 8:00 A.M. Colonel Timothy Alben, commander of ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93,MILTON (CBS) - Protesters chained to cement barrels and locking arms inside plastic tubing shut down parts of Interstate 93 in Milton and Medford during the Thursday ... District Court later Thursday. ...[...]
"February 2019 Incident Archives, Medford",MEDFORD,I-93,"Massachusetts State Police are still investigating the cause of an accident on Interstate 93 last week that killed a Dracut man. According to reports, troopers from the Medford barracks were called to ...[...]"
"February 2019 Incident Archives, Medford",MEDFORD,I-93,"Traffic hit a rough patch on I-93 in Medford Thursday morning as intrigued motorists ... It is the first commercial-scale wind turbine to be installed at a municipal school in Massachusetts. The turbi...Mon, 02 Feb 2009 04:01:00 GMTThe Bulletin


NFE[...]"
"February 2019 Incident Archives, Medford",CAMBRIDGE,," Medford Teen Arraigned In Crash That Killed Woman - Brookline, MA - Police said Raza Khan was driving under the influence of drugs when he killed the ...[...]"
"February 2019 Incident Archives, Medford",,NOINFORMATION," Medford Teen Arraigned In Crash That Killed Woman - Brookline, MA - Police said Raza Khan was driving under the influence of drugs when he killed the ...[...]"
"January 2019 Incident Archives, Medford",STONEHAM,FELLSWAYW,"MEDFORD, MA - Whether you're moving in or out of Medford, or you're a lifer who is just curious where the new folks are relocating, it's always interesting to know what homes are selling. And in Febru...Thu, 01 Mar 2018 10:58:00 GMTUSA Patch


NFE / [...]"
"January 2019 Incident Archives, Medford",,2," Medford, MA PatchMedford Teen Arraigned In Crash That Killed Woman - Medford, MA - Police said Raza Khan was driving under the influence of drugs when he killed the Newton ...[...]"
"January 2019 Incident Archives, Medford",MEDFORD,190HIGHT," WBURChris Gasper and NFL reporter Ben Volin dig into the state of the Patriots, including their victory over the Miami Dolphins-their 7th in a row-and Steelers coach ...[...]"
"January 2019 Incident Archives, Medford",,ROUTE62,"108 Winthrop Road, Chelsea, MA 02150 or email viscress@aol.com or call 617-887-2692 ... room at the Winchester Hospital Family Medical Center, 500 Salem St., Route 62, Wilmington. Tinnitus is a name f...Wed, 16 Jan 2019 10:06:00 GMTWicked Local Medfo[...]"
"January 2019 Incident Archives, Medford",BOSTON,15UNIVERSITYRD," Medford, MA PatchK+ Of Pot, Products Seized After Car Crash: PD - Medford, MA - Medford Police said a Sharon man was arrested after an officer found about three pounds of ...[...]"
"January 2019 Incident Archives, Medford",,FELLSWAY,6:21 a.m.; Boston Avenue and Harvard Street - A motor vehicle accident was reported. 4:42 p.m.; Fellsway - A motor vehicle accident was reported by the Massachusetts State Police. 6:03 p.m.; Riverside ...[...]
"January 2019 Incident Archives, Medford",,29SOMERVILLEAVE," Patch.comSomerville, MA - The road is partially shut down around the Highland Avenue / Medford Street intersection.[...]"
"January 2019 Incident Archives, Medford",,,"BRAINTREE, MA (WHDH) - An 18-year-old Medford man is facing a slew of criminal charges after authorities say he hit a Braintree police officer with his car, struck a cruiser, and crashed into a ...[...]"
"January 2019 Incident Archives, Medford",,,"MEDFORD, MA - A repeat drunken driver was found with ... The car then drove down Dudley Street in Medford, where a Medford police officer was traveling in the opposite direction.[...]"
"January 2019 Incident Archives, Medford",,I-93,The officer requested assistance from transit police department and responding officers were able to locate Brouillette traveling on I-93 North and stopped his vehicle near Exit 32 in Medford. Upon in...[...]
"January 2019 Incident Archives, Medford",,FRESHPONDPKWY," CBS Boston / WBZMEDFORD (CBS) - Whether you are trying to avoid a major accident on the highway, or just finding the fastest route around the daily headaches of Boston ...[...]"
"January 2019 Incident Archives, Medford",,I-93,"The site is well-known to passers-by on Montvale Avenue in Woburn and to north-south traffic on Interstate I-93. The Boston-based ... 465 Medford St., Suite 2200, Boston, MA 02129.[...]"
"January 2019 Incident Archives, Medford",BURLINGTON,US-3, Burlington County TimesPolice said a 52-year-old township woman was trying to park her 2014 Subaru Forester when she accidentally hit the accelerator instead of the brake.[...]
"January 2019 Incident Archives, Medford",,NOINFORMATION, Burlington County TimesPolice said a 52-year-old township woman was trying to park her 2014 Subaru Forester when she accidentally hit the accelerator instead of the brake.[...]
"December 2018 Incident Archives, Medford",,,7:41 p.m.; Boston Avenue - A breaking and entering of a motor vehicle was reported. 5:38 a.m.; Otis Street - A breaking and entering of a motor vehicle was reported. 12:37 p.m.; Main Street - Larceny ...[...]
"December 2018 Incident Archives, Medford",,FELLSWAY,"Advent-Christmas dinner and concert: 5 p.m. Dec. 8, St. Francis of Assisi, 441 West Fellsway, Medford ... For information: 781-393-2454; afiske@medford-ma.gov. This holiday season, Mayor Stephanie M. ...Wed, 12 Dec 2018 11:59:00 GMTWicked Local Medfo[...]"
"December 2018 Incident Archives, Medford",SAGAMORE,,Dec. 3 10:40 a.m.; Main Street - A motor vehicle accident was reported near Carroll's Restaurant. 1:20 p.m.; High Street and Sagamore Avenue - A motor vehicle accident was reported. 1:32 p.m.; Elm Str...[...]
"December 2018 Incident Archives, Medford",,AVE," The Boston GlobeThe crash temporarily shut down the area of Massachusetts Avenue and Medford Street, police said.[...]"
"December 2018 Incident Archives, Medford",STONEHAM,I-93NORTH," Patch.comMEDFORD, MA - A multi-vehicle crash is blocking the center and right lanes on I-93 North right near Route 16, MassDOT said. Google Maps shows some very ...[...]"
"December 2018 Incident Archives, Medford",MEDFORD,I-93EXIT31," Andover TownsmanMonday, Jan. 23. Patrolman Owen Fitzpatrick gave a verbal warning to a motorist at 11:04 a.m. on North Main St. for failure to clear snow from the vehicle.[...]"
"December 2018 Incident Archives, Medford",MEDFORD,I-93EXIT31," CBS LocalMEDFORD (CBS) - A highway worker was killed by a drunk driver on Interstate 93 in Medford early Tuesday morning, according to State Police. Thomas O'Day ...[...]"
"December 2018 Incident Archives, Medford",MEDFORD,I-93EXIT31," Londonderry NewsPolice Logs for 6 / 22 / 2014-6 / 28 / 2014 Sunday, June 22nd, Elmer Urias of Malden MA was arrested after a motor vehicle stop for reckless driving at exit 5 on 93.[...]"
"December 2018 Incident Archives, Medford",MEDFORD,I-93EXIT31," Daily MailAlanna Demella, 27, of Medford, Massachusetts, had popped into use the bathroom when she was struck by the out-of-control car. Incredibly, husband Michael ...[...]"
"December 2018 Incident Archives, Medford",,I-90, MassLive.comA Massachusetts man who a year ago was involved in fatal Groton crash in a stolen Vermont pickup as he tried to outrun police is being charged with ...[...]
"December 2018 Incident Archives, Medford",SOMERVILLE,FELLSWAYW," Patch.comMEDFORD, MA - The information below is derived solely from Medford Police records and the charges here do not imply convictions.[...]"
"December 2018 Incident Archives, Medford",,FELLSWAY," Wicked LocalWhen they take the field on Thursday, the Golden Tornadoes and the Mustangs will take their rightful place in football history.The Malden-Medford series is one ...[...]"
"December 2018 Incident Archives, Medford",,FELLSWAY, Wicked Local MedfordThe following is a selection from the Medford Police Department logs from Oct. 6-15. Oct. 6. 4:54 p.m.; High Street - A pedestrian accident was reported.[...]
"December 2018 Incident Archives, Medford",,FELLSWAY," Patch.comAn Andover man arrested on Salem Street Monday is charged with third offense driving under the influence of alcohol, according to Medford Police.[...]"
"December 2018 Incident Archives, Medford",BELMONT,," Medford Crash Victim ID'd; Teen Charged With OUI - Medford, MA - A woman and a dog were killed when a teen struck three pedestrians on Spring Street ...[...]"
"December 2018 Incident Archives, Medford",,," Brookline Woman Killed In Medford Sunday By Drunk - Brookline, MA - The 17-year-old only had his learner's permit when he drove into three pedestrians and a ...[...]"
"December 2018 Incident Archives, Medford",,MA-2," Medford, MA PatchMEDFORD, MA - One person is dead and two more injured after a juvenile driver struck three pedestrians on Spring Street late Sunday afternoon, authorities ...[...]"
"December 2018 Incident Archives, Medford",STONEHAM,I-93NORTH," Patch.comMEDFORD, MA - The man who is accused of drunkenly driving into a highway crew member on I-93 last year, killing the victim, is among nine grand jury ...[...]"
"December 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA - A rollover Thursday night knocked over a light pole on Rt. 28, according to the Medford Fire Department. The crash happened near Stoneham. The sole person in the car was not ...[...]"
"December 2018 Incident Archives, Medford",,I-190, CBS Boston / WBZLEICESTER (CBS) - A young driver is in custody after one person and a dog were killed and two other people were seriously injured when they were hit by a ...[...]
"December 2018 Incident Archives, Medford",,FELLSWAY," Wicked Local MedfordThe following is a selection from the Medford Police logs, Jan. 3 - 10.Jan. 34:34 p.m.; Salem Street - Public drunkenness was reported at Alamo Roast ...[...]"
"December 2018 Incident Archives, Medford",,FELLSWAY, WCVB BostonA woman died early Friday when her car crashed through a storefront in Medford. The vehicle went across a busy intersection and crashed into the LensCrafters ...[...]
"December 2018 Incident Archives, Medford",WOBURN,NORTH,"The site is well-known to passers-by on Montvale Avenue in Woburn and to north-south traffic on Interstate ... 465 Medford St., Suite 2200, Boston, MA 02129. Small strips of land are in Winchester ...[...]"
"December 2018 Incident Archives, Medford",MEDFORD,,12:43 p.m.; Governors Avenue - Vandalism was reported. 4:43 p.m.; Main Street - A pedestrian accident was reported near the Medford Police Department. 8:24 p.m.; Second Street - A motor vehicle accide...[...]
"December 2018 Incident Archives, Medford",,2, NECNA small memorial started to grow Sunday night after a terrifying afternoon in Medford where a woman and dog were killed and two others were injured in a ...[...]
"December 2018 Incident Archives, Medford",,I-93," Patch.comMEDFORD, MA - A crash on the northbound side of I-93 in Medford has been cleared, according to WBZ. The crash happened near Exit 33, which leads to ...[...]"
"December 2018 Incident Archives, Medford",,NOINFORMATION," Patch.comMEDFORD, MA - A crash on the northbound side of I-93 in Medford has been cleared, according to WBZ. The crash happened near Exit 33, which leads to ...[...]"
"November 2018 Incident Archives, Medford",MEDFORD,,"The Malden High quarterback scored three touchdowns, passing for a pair before rushing the eventual game-winner in the fourth quarter, as the Golden Tornadoes edged archrivals Medford, 28-22, in the 1...[...]"
"November 2018 Incident Archives, Medford",,FELLSWAY,5:21 p.m.; Water Street - Larceny was reported. 5:43 p.m.; First Street - A missing person was reported. 6:57 p.m.; Fellsway West - A breaking and entering of a motor vehicle was reported. 7:27 p.m.; ...[...]
"November 2018 Incident Archives, Medford",MEDFORD,,"I had just recently graduated from Medford High School and was soon to be off to college at Mount Holyoke in western Massachusetts. There was a lot in general to look forward to. At the ceremony, I re...[...]"
"November 2018 Incident Archives, Medford",LAWRENCE,,"MelroseWakefield Healthcare plans to close the emergency department at Lawrence Memorial Hospital in Medford ... a spokesman for the Massachusetts Nurses Association, in a written statement. '?They war...[...]"
"November 2018 Incident Archives, Medford",,FELLSWAY,10:17 a.m.; Mystic Avenue - Larceny was reported. 11:36 a.m.; Fellsway Street - A motor vehicle accident was reported. 12:56 p.m.; Newbern Avenue - Larceny was reported. 1:04 p.m.; Frederick Avenue - ...[...]
"November 2018 Incident Archives, Medford",,NOINFORMATION,10:17 a.m.; Mystic Avenue - Larceny was reported. 11:36 a.m.; Fellsway Street - A motor vehicle accident was reported. 12:56 p.m.; Newbern Avenue - Larceny was reported. 1:04 p.m.; Frederick Avenue - ...[...]
"October 2018 Incident Archives, Medford",,FELLSWAY,4:50 p.m.; Magoun Avenue - Harassment was reported. 6:07 p.m.; Fellsway West - ID fraud was reported. 6:49 p.m.; Fellsway - An individual was brought to the hospital following a pedestrian accident. 7 ...[...]
"October 2018 Incident Archives, Medford",,FELLSWAY,7:35 p.m.; Central Avenue - A breaking and entering of a motor vehicle was reported. 8:36 p.m.; Fellsway - Larceny was reported at Planet Fitness. 11:02 a.m.; Main Street - ID fraud was reported. 5:39 ...[...]
"October 2018 Incident Archives, Medford",,FELLSWAY,5:58 p.m.; Harvard Street and Pierce Avenue - A motor vehicle accident was reported. 6:21 p.m.; Fellsway Street - Larceny was reported at Boston Market. 6:30 p.m.; High Street - A motor vehicle accide...[...]
"October 2018 Incident Archives, Medford",MEDFORD,,"The 42-year-old woman was hit by the vehicle in the area of Massachusetts Avenue and Medford Street, Arlington police said. Authorities said the driver remained at the scene. The victim was transporte...[...]"
"October 2018 Incident Archives, Medford",,NOINFORMATION,"The 42-year-old woman was hit by the vehicle in the area of Massachusetts Avenue and Medford Street, Arlington police said. Authorities said the driver remained at the scene. The victim was transporte...[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,"MEDFORD, MA - Longtime Italian restaurant spared from the wrecking ball; 17th century brick house for sale; retired police officer finds kidney donor; more. here's a look at the five most-read ...[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,"In a press release from the Middlesex District Attorney's Office, District Attorney Marian Ryan and Belmont Police Chief Richard McLaughlin confirmed that Raymond O'Brien, 45, of Medford has ... licen...[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,A previous warning was issued for central Massachusetts. A special marine ... Daily Newsletter The latest Medford news delivered to your inbox every morning. Breaking News Alerts Real-time updates ...[...]
"September 2018 Incident Archives, Medford",MEDFORD,,(WHDH) - A Medford man was charged in connection with ... Officials say the defendant had previously been licensed to operate in Massachusetts; however that license had expired in 2004.[...]
"September 2018 Incident Archives, Medford",MEDFORD,,"BOSTON (WHDH) - A cluster of severe fast-moving storms wreaked havoc on parts of Eastern Massachusetts Tuesday ... vehicles stranded in Somerville and Medford, according to state police.[...]"
"September 2018 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY,"MEDFORD, MA - State police are responding to flooded ... Troopers onscene, Mystic Ave and McGrath Highway / Woodland Rd / Mystic Valley Pkwy, Somerville / Medford area for road flooding.[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,"The storm containing the remnants of Hurricane Florence is bringing a deluge of rainfall to Massachusetts on Tuesday ... Malden, Brookline, Medford, Revere, Peabody, Methuen and Arlington, the weather ...[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,A previous warning was issued for central Massachusetts. Showers and possibly ... Daily Newsletter The latest Medford news delivered to your inbox every morning. Breaking News Alerts Real-time ...[...]
"September 2018 Incident Archives, Medford",MEDFORD,,"That's what a new platform from Agero, a self-described '?driving solutions'? company headquartered in Medford, Massachusetts, aims to accomplish. It's a software development kit called ...[...]"
"September 2018 Incident Archives, Medford",MEDFORD,,Hassett Drive - Harassment was reported at City Hall. 4:26 p.m.; Fellsway Street - Larceny was reported. 8:56 p.m.; Medford Street - A pedestrian accident was reported. Sept. 8 6:21 a.m.; Summer Stree...[...]
"September 2018 Incident Archives, Medford",,31,9:58 a.m.; Magoun Avenue - A breaking and entering of a motor vehicle was reported. 10:32 a.m.; Massachusetts Avenue - A breaking and entering of a motor vehicle was reported. 2:15 p.m.; Sherwood Road ...[...]
"September 2018 Incident Archives, Medford",,NOINFORMATION,9:58 a.m.; Magoun Avenue - A breaking and entering of a motor vehicle was reported. 10:32 a.m.; Massachusetts Avenue - A breaking and entering of a motor vehicle was reported. 2:15 p.m.; Sherwood Road ...[...]
